c MST generated by Kruskal's Algorithm using Quick Sort
e 6083 7827 146
e 2695 7131 146
e 18530 29521 147
e 8722 23775 147
e 18556 36402 147
e 34714 36756 147
e 18740 32014 147
e 3476 9700 147
e 338 39901 147
e 25292 39880 148
e 13426 13978 148
e 16358 33824 149
e 14599 24188 149
e 26757 32505 149
e 6302 28510 149
e 12576 33558 149
e 19200 24597 150
e 57 792 150
e 5539 11201 150
e 2861 6197 150
e 3249 5873 151
e 29835 30409 152
e 1595 2860 152
e 7009 20454 152
e 9131 38689 152
e 25171 39728 152
e 5638 38955 152
e 8612 11100 152
e 17094 30442 153
e 20357 24595 153
e 30091 37190 153
e 19610 34935 153
e 30757 34336 153
e 372 1596 153
e 35911 39723 153
e 10130 14764 153
e 6206 24483 154
e 14707 22981 154
e 1188 15018 155
e 12919 23106 155
e 11217 28287 155
e 8295 32645 155
e 33452 38340 155
e 21407 22396 155
e 4590 23005 155
e 25528 37119 156
e 9366 14236 156
e 9608 24360 156
e 36755 39660 156
e 8006 33985 156
e 4355 17445 156
e 25126 26912 156
e 13940 17739 156
e 23131 38654 157
e 4141 26041 157
e 22121 37478 157
e 10172 33560 157
e 17760 34731 157
e 10315 16847 158
e 22393 35790 158
e 16294 31876 158
e 8114 12651 158
e 16791 29586 159
e 18693 28494 159
e 8570 23741 159
e 26004 39154 159
e 23753 30702 159
e 3836 19967 160
e 8445 36700 160
e 24686 33050 160
e 6373 30559 160
e 21960 27113 161
e 9687 11647 161
e 2407 15853 161
e 3804 7324 162
e 1883 34782 162
e 2714 8407 162
e 7732 22434 162
e 18390 18441 163
e 7466 31370 163
e 30740 35020 163
e 8690 31389 163
e 1727 28354 163
e 3923 7223 163
e 19491 27125 163
e 15692 33576 163
e 16430 38563 164
e 2682 22140 164
e 13545 23926 164
e 8007 19979 164
e 7611 11853 164
e 4565 31467 164
e 1006 1255 165
e 1823 11107 165
e 16122 16553 165
e 7638 20740 166
e 3494 20925 166
e 826 20603 166
e 3035 26177 166
e 15351 31706 167
e 1393 16697 167
e 371 5985 167
e 9779 17647 168
e 15113 18619 168
e 17542 22720 168
e 17333 38363 168
e 19226 38550 169
e 4751 11387 169
e 17234 29914 169
e 16139 29188 169
e 7126 35722 169
e 14832 29280 170
e 1966 3202 170
e 526 10079 170
e 12642 38952 170
e 12486 36010 170
e 499 33677 170
e 3091 24502 170
e 27943 36954 170
e 11921 37283 171
e 1781 39600 171
e 1931 28992 171
e 11198 22601 171
e 6856 34445 171
e 29796 38486 172
e 2701 6589 172
e 1647 17005 172
e 9547 38271 172
e 20172 30806 172
e 9917 16956 172
e 20737 35021 172
e 4924 18915 172
e 9090 14943 172
e 4318 31060 173
e 11353 38119 173
e 7563 13837 173
e 21483 24833 173
e 14655 20854 174
e 178 7749 174
e 3580 17748 174
e 4704 18935 174
e 11863 25413 175
e 23809 33977 175
e 3274 18659 175
e 6252 24031 176
e 7944 31685 176
e 20938 21254 176
e 21192 21600 176
e 2735 28055 176
e 6428 20597 176
e 13762 27798 176
e 17545 23431 177
e 13916 24987 177
e 19003 23088 178
e 13551 16665 178
e 35540 39666 178
e 1939 29877 178
e 19598 39288 178
e 8414 20315 178
e 1511 26126 178
e 9458 13282 178
e 6740 7403 179
e 15308 38886 179
e 7613 19864 179
e 10285 32879 179
e 17286 25666 180
e 7273 39885 180
e 22504 26810 180
e 19673 36908 180
e 12324 37757 180
e 19948 20462 181
e 15916 37056 181
e 4433 6955 182
e 8846 37812 182
e 5252 25723 183
e 14725 15636 183
e 33118 39386 184
e 7840 9911 184
e 6100 12751 184
e 13806 29625 184
e 5096 11129 185
e 25885 34654 185
e 7334 10322 186
e 5194 19455 186
e 15350 21101 186
e 6899 9454 186
e 14240 17021 187
e 22240 30974 187
e 4151 37136 187
e 767 10220 187
e 24768 24826 187
e 14637 27445 188
e 13102 37733 188
e 9975 23960 188
e 27086 30504 188
e 20808 23425 188
e 7827 22944 188
e 11898 26526 189
e 8001 11687 189
e 23888 33941 189
e 7550 26197 189
e 16827 25185 189
e 19956 36183 189
e 17384 27927 189
e 29 37096 189
e 17525 37396 190
e 24628 37740 190
e 14690 27349 190
e 27449 39641 190
e 18721 21320 190
e 13858 21335 190
e 15374 33439 191
e 23794 24764 191
e 22438 32529 191
e 16642 29013 191
e 25028 31333 191
e 17530 38062 191
e 25982 30568 192
e 4283 22407 192
e 3678 14034 192
e 12492 17934 192
e 38709 39161 193
e 19164 25155 193
e 5419 21270 193
e 10487 27246 194
e 12594 36821 194
e 5778 10228 195
e 17026 29258 195
e 9036 33154 195
e 582 7384 196
e 10100 22836 196
e 21413 22078 196
e 9217 34546 197
e 4679 11463 197
e 5546 16180 197
e 15940 36884 198
e 326 1638 198
e 6359 32659 198
e 31849 39865 198
e 14982 37977 198
e 21221 32134 199
e 680 848 199
e 11395 23243 199
e 1475 7605 199
e 9158 26616 199
e 11456 18891 200
e 32849 33097 200
e 14972 29750 200
e 29036 35793 200
e 14004 29852 200
e 203 204 200
e 28908 39306 200
e 13724 25664 201
e 1040 30444 201
e 2420 6201 201
e 4292 20986 201
e 22553 32296 201
e 14173 27606 202
e 8703 22131 203
e 195 17206 203
e 30140 30951 203
e 763 1327 203
e 4345 15089 203
e 21390 39566 204
e 12109 38809 204
e 25023 25308 204
e 11845 29174 204
e 655 15392 204
e 30020 37177 204
e 9586 28555 204
e 13864 28168 205
e 300 24352 205
e 6800 31482 205
e 34489 37250 205
e 4091 19377 205
e 21694 28609 206
e 9123 22056 207
e 3240 37293 207
e 14531 36145 208
e 12968 21107 209
e 7072 19144 209
e 13706 24642 210
e 23907 30623 210
e 6680 24692 211
e 3450 7684 211
e 25661 38383 211
e 4747 10409 212
e 21382 33039 212
e 24955 32498 212
e 3630 4520 212
e 23250 39540 212
e 1813 13823 212
e 5000 26218 213
e 13400 37697 213
e 16733 27704 213
e 17956 24720 213
e 3990 37604 213
e 11832 24943 213
e 10142 28688 213
e 11907 33775 213
e 15240 24848 213
e 9488 29037 213
e 6655 37376 214
e 18058 27247 214
e 27155 28263 215
e 20790 36828 215
e 9377 30307 215
e 12001 35302 215
e 31008 39417 215
e 21996 23527 215
e 7466 14275 215
e 11883 18094 216
e 9468 26424 216
e 8493 16402 216
e 17088 28663 217
e 853 37131 217
e 3741 10058 217
e 6302 17564 218
e 22074 27402 218
e 9060 9703 218
e 1856 3251 218
e 18356 31052 218
e 12066 26970 218
e 1334 17709 218
e 15458 35359 219
e 9553 28123 219
e 25504 33100 220
e 21963 22967 220
e 24171 26776 220
e 17426 35479 220
e 8950 17521 220
e 10378 27826 220
e 4308 15282 220
e 3185 23343 221
e 18966 39003 221
e 81 318 222
e 5365 12916 222
e 1919 14885 222
e 19014 22905 223
e 11925 23990 223
e 8282 27083 223
e 1738 2555 223
e 1376 19504 223
e 6452 27812 224
e 4028 31235 224
e 17004 25532 224
e 2855 18067 224
e 16912 17807 224
e 14938 38753 224
e 13770 15113 224
e 24603 34028 225
e 10323 14885 225
e 7 103 225
e 577 11830 225
e 12444 32858 225
e 24610 37779 225
e 21702 29676 225
e 4721 14423 226
e 8919 32973 226
e 32603 37023 226
e 12771 27369 226
e 27508 38533 227
e 21582 38259 227
e 7086 25640 227
e 7742 11100 227
e 26812 31948 227
e 2576 3447 227
e 12405 25846 228
e 13420 19186 228
e 14302 16119 228
e 12602 31903 228
e 20026 22743 228
e 5073 12438 229
e 16297 31468 229
