c MST generated by Kruskal's Algorithm using Quick Sort
e 31309 96494 16
e 49692 89170 16
e 22535 87109 16
e 69190 72646 16
e 50085 97436 16
e 49434 76092 16
e 19797 21262 16
e 1736 10457 16
e 57452 60459 16
e 32361 80090 16
e 16932 34699 16
e 37224 92337 17
e 8692 39239 17
e 62097 92500 17
e 58867 82907 17
e 34345 69599 17
e 42883 72165 17
e 16404 20934 17
e 46991 86888 17
e 79425 82439 17
e 23043 55540 17
e 81562 97697 17
e 20999 98717 17
e 4053 71310 17
e 18490 90602 17
e 98207 98271 17
e 11061 14541 17
e 39617 63097 17
e 616 51647 17
e 20101 61957 17
e 1430 37571 17
e 12788 13026 17
e 45420 98715 17
e 50121 77777 17
e 5363 45542 17
e 44586 64413 17
e 43415 61323 17
e 18564 33369 17
e 43457 76822 17
e 45673 63324 17
e 50131 54135 17
e 18134 87200 17
e 451 60729 17
e 14260 46371 17
e 89487 99389 17
e 32495 57221 17
e 12115 15609 17
e 29062 31632 17
e 24007 71263 17
e 6558 35463 17
e 49121 75570 17
e 32942 93015 17
e 12208 24960 17
e 15696 60751 17
e 30797 69844 17
e 3777 91102 17
e 72262 90829 17
e 86023 97071 18
e 32577 44797 18
e 9018 64764 18
e 32431 41003 18
e 78224 94827 18
e 9054 20501 18
e 2938 74886 18
e 16230 98897 18
e 39919 49516 18
e 29244 52303 18
e 29264 40188 18
e 41238 80195 18
e 76065 93329 18
e 38715 49267 18
e 92372 96620 18
e 38455 93902 18
e 17533 40932 18
e 1264 24924 18
e 62407 94880 18
e 29566 60633 18
e 14686 45154 18
e 14594 33107 18
e 17967 66639 18
e 18060 81183 18
e 37486 55712 18
e 29795 80183 18
e 61146 75924 18
e 73839 95499 18
e 1434 16003 18
e 28425 67367 18
e 6708 41744 18
e 9435 13541 18
e 2320 19175 18
e 36505 71546 18
e 19047 35726 18
e 19345 90145 18
e 19373 23706 18
e 47563 70120 18
e 47601 99651 18
e 16396 28623 18
e 24830 31619 18
e 7485 27290 18
e 19578 93661 18
e 58323 80822 18
e 74666 85747 18
e 3944 16538 18
e 34857 66151 18
e 77355 90866 18
e 16958 45566 18
e 66790 90671 18
e 11224 81838 18
e 11206 59647 18
e 20186 57238 18
e 11064 76463 18
e 31414 83557 18
e 50677 51297 18
e 16986 28984 18
e 33819 67478 18
e 10411 16707 18
e 51614 89747 18
e 16326 35659 18
e 32915 63391 18
e 1941 7337 18
e 89536 93583 18
e 9492 76381 18
e 29236 91499 19
e 413 88030 19
e 32337 92624 19
e 32432 44896 19
e 36111 73848 19
e 59658 75998 19
e 11979 88426 19
e 23561 37830 19
e 16867 79595 19
